Month,worldwide_relative_bitcoin_interest
2014-01,8
2014-02,9
2014-03,6
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,3
2015-09,2
2015-10,2
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,4
2016-06,5
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,4
2016-12,4
2017-01,6
2017-02,5
2017-03,7
2017-04,6
2017-05,14
2017-06,14
2017-07,12
2017-08,20
2017-09,21
2017-10,22
2017-11,44
2017-12,100
2018-01,54
2018-02,40
2018-03,23
2018-04,18
2018-05,14
2018-06,13
2018-07,13
2018-08,13
2018-09,11
2018-10,10
2018-11,13
2018-12,13
2019-01,10
2019-02,9
2019-03,8
2019-04,12
2019-05,17
2019-06,20
2019-07,18
2019-08,15
2019-09,13
2019-10,12
2019-11,11
2019-12,10
2020-01,13
2020-02,14
2020-03,19
2020-04,16
2020-05,20
